Palabra	(Archivo, Cantidad)
canino	(2,4)
is	(2,4)(3,145)(4,7)(1,86)(5,8)
a	(2,2)(3,209)(4,44)(1,168)(5,14)
town	(2,2)(3,1)(5,1)
and	(2,6)(3,458)(4,56)(1,148)(5,19)
comune	(2,1)
of	(2,10)(3,605)(4,40)(1,233)(5,34)
italy	(2,1)(3,1)(1,2)
in	(2,4)(3,422)(4,76)(1,207)(5,26)
the	(2,10)(3,1069)(4,144)(1,574)(5,64)
province	(2,1)(3,2)
viterbo	(2,2)
northern	(2,1)(3,12)(1,1)
lazio	(2,1)
internal	(2,1)(3,1)
part	(2,1)(3,9)(4,1)(1,6)(5,3)
maremma	(2,1)
laziale	(2,1)
it	(2,2)(3,43)(4,8)(1,17)(5,2)
15	(2,1)(3,8)
kilometres	(2,2)
9	(2,1)
mi	(2,2)(3,15)
west	(2,1)(3,9)(4,2)
valentano	(2,1)
44	(2,1)
27	(2,1)(3,1)(1,2)
northwest	(2,1)
also	(2,2)(3,31)(4,7)(1,18)(5,2)
near	(2,1)(3,2)(5,1)
ancient	(2,1)(1,1)
etruscan	(2,1)
vulci	(2,1)
destroyed	(2,1)(5,1)
city	(2,1)(3,8)
castro	(2,1)
lucien	(2,1)
bonaparte	(2,1)
brother	(2,1)(3,1)
napoleon	(2,1)
was	(2,3)(3,82)(4,36)(1,41)(5,1)
lord	(2,1)(3,1)
buried	(2,1)
towns	(2,1)(3,3)
collegiate	(2,1)(1,1)
church	(2,1)(3,7)
residence	(2,1)
farnese	(2,1)
family	(2,1)(3,4)(4,3)(1,1)(5,1)
future	(2,1)(3,1)
pope	(2,1)(3,1)
paul	(2,1)(3,1)
iii	(2,1)
born	(2,1)
here	(2,1)
1468	(2,1)
hills	(2,1)
that	(2,1)(3,72)(4,10)(1,37)(5,6)
surround	(2,1)
reach	(2,1)(3,4)
selva	(2,1)
del	(2,1)(3,11)
lamone	(2,1)
are	(2,1)(3,68)(4,4)(1,68)(5,3)
cultivated	(2,1)
with	(2,2)(3,95)(4,19)(1,46)(5,8)
grapes	(2,1)
olive	(2,3)
famous	(2,1)(3,1)
oil	(2,1)(3,3)
extra	(2,1)(1,5)
vergine	(2,1)
di	(2,1)
oliva	(2,1)
from	(2,1)(3,80)(4,15)(1,34)(5,3)
canina	(2,1)
variety	(2,1)(3,3)(1,1)
has	(2,1)(3,47)(4,4)(1,40)
been	(2,1)(3,16)(4,8)(1,29)(5,1)
given	(2,1)(3,2)(4,1)(1,1)
dop	(2,1)
reg	(2,1)
ce	(2,1)(1,5)
n	(2,1)
1263/96	(2,1)
==	(2,2)(3,24)(4,16)(1,20)(5,18)
references	(2,1)(3,1)(4,1)(1,1)(5,1)
chile	(3,205)
officially	(3,3)(1,2)
republic	(3,5)
country	(3,47)(1,3)
western	(3,2)(4,1)(5,2)
south	(3,43)(1,4)
america	(3,17)(4,4)(1,4)
southernmost	(3,2)
world	(3,28)(4,13)(1,33)
closest	(3,1)
to	(3,241)(4,30)(1,122)(5,12)
antarctica	(3,5)
occupying	(3,1)
long	(3,6)(1,2)
narrow	(3,2)
strip	(3,1)
land	(3,6)(5,2)
between	(3,26)(4,1)(1,20)(5,3)
andes	(3,23)
east	(3,13)
pacific	(3,21)
ocean	(3,6)
covers	(3,4)(4,1)
an	(3,47)(4,8)(1,38)
area	(3,14)(1,8)
756096	(3,1)
square	(3,5)(1,2)
kilometers	(3,4)
291930	(3,1)
sq	(3,4)
population	(3,30)(1,1)(5,1)
175	(3,2)
million	(3,14)(4,5)(1,3)
as	(3,85)(4,17)(1,42)(5,4)
2017	(3,7)(4,1)(1,1)
shares	(3,1)
borders	(3,3)
peru	(3,9)
north	(3,17)(4,5)(1,3)(5,2)
bolivia	(3,9)
north-east	(3,1)
argentina	(3,13)
drake	(3,1)
passage	(3,2)
far	(3,5)
controls	(3,2)
islands	(3,11)
juan	(3,5)
fern??ndez	(3,2)
isla	(3,3)
salas	(3,1)
y	(3,2)
g??mez	(3,2)
desventuradas	(3,1)
easter	(3,7)
island	(3,10)
oceania	(3,1)(1,2)
claims	(3,2)
about	(3,12)(1,3)(5,1)
1250000	(3,2)
480000	(3,2)
under	(3,12)(4,3)(1,7)
chilean	(3,66)
antarctic	(3,9)
territory	(3,17)(5,9)
countrys	(3,12)(1,1)
capital	(3,5)(4,1)(1,1)
largest	(3,22)
santiago	(3,22)
its	(3,54)(4,5)(1,6)
national	(3,42)(1,17)
language	(3,5)(5,4)
spanish	(3,27)(1,2)
spain	(3,4)(1,2)
conquered	(3,1)
colonized	(3,1)
region	(3,14)
mid-16th	(3,1)
century	(3,13)(1,5)(5,2)
replacing	(3,2)
inca	(3,4)
rule	(3,4)(1,1)
but	(3,14)(4,4)(1,12)(5,3)
failing	(3,1)
conquer	(3,2)
independent	(3,6)
mapuche	(3,16)
who	(3,15)(4,3)(1,11)
inhabited	(3,2)
what	(3,8)(1,2)(5,2)
now	(3,8)(1,3)(5,2)
south-central	(3,1)
1818	(3,2)(5,2)
after	(3,20)(4,5)(1,5)
declaring	(3,1)
independence	(3,7)(1,1)
emerged	(3,3)(1,1)
1830s	(3,1)
relatively	(3,5)(1,1)
stable	(3,3)
authoritarian	(3,1)
